,0
119,Dr. Michael Raffinan
120,"New York Physicians LLP: Nancy A. Jasper, MD"
121,"Primary Care Doctor, Michael Aziz, MD"
122,Mount Sinai Doctors Specialty Practice
123,Mount Sinai Doctors Max Meltzer – East 1st Street
124,Mount Sinai Doctors - Greenwich Street
125,ColumbiaDoctors - Midtown
126,AdvantageCare Physicians - Flatiron District Medical Office
127,Mount Sinai Visiting Doctors
128,Mount Sinai Doctors - West 8th Street
129,Mount Sinai Doctors - West 23rd Street
130,Doctor Office
131,Mount Sinai Doctors - East 34th Street
132,Naturopathic Doctor New York
133,Integrative Medicine of NYC
134,Visiting Doctors Program
135,Lotfi Peter MD
136,1
137,20
138,Wellsure Medical Practice PC
139,New York Physicians
140,New York Doctors Urgent Care
141,Independent Doctors of New York (IDNY)
142,Dr. Michael Raffinan
143,"New York Physicians LLP: Nancy A. Jasper, MD"
144,"Primary Care Doctor, Michael Aziz, MD"
145,Mount Sinai Doctors Specialty Practice
146,Mount Sinai Doctors Max Meltzer – East 1st Street
147,Mount Sinai Doctors - Greenwich Street
148,ColumbiaDoctors - Midtown
149,AdvantageCare Physicians - Flatiron District Medical Office
150,Mount Sinai Visiting Doctors
151,Mount Sinai Doctors - West 8th Street
152,Mount Sinai Doctors - West 23rd Street
153,Doctor Office
154,Mount Sinai Doctors - East 34th Street
155,Naturopathic Doctor New York
156,Integrative Medicine of NYC
157,Visiting Doctors Program
158,Lotfi Peter MD
159,1
160,20
161,Wellsure Medical Practice PC
162,New York Physicians
163,New York Doctors Urgent Care
164,Independent Doctors of New York (IDNY)
165,Dr. Michael Raffinan
166,"New York Physicians LLP: Nancy A. Jasper, MD"
167,"Primary Care Doctor, Michael Aziz, MD"
168,Mount Sinai Doctors Specialty Practice
169,Mount Sinai Doctors Max Meltzer – East 1st Street
170,Mount Sinai Doctors - Greenwich Street
171,ColumbiaDoctors - Midtown
172,AdvantageCare Physicians - Flatiron District Medical Office
173,Mount Sinai Visiting Doctors
174,Mount Sinai Doctors - West 8th Street
175,Mount Sinai Doctors - West 23rd Street
176,Doctor Office
177,Mount Sinai Doctors - East 34th Street
178,Naturopathic Doctor New York
179,Integrative Medicine of NYC
180,Visiting Doctors Program
181,Lotfi Peter MD
182,1
183,20
184,Wellsure Medical Practice PC
185,Doctor K Private Medicine
186,Urgent Care Center Of NYC
187,Mount Sinai Doctors - 2109 Broadway
188,New York Hearing Doctors
189,Mt Sinai Faculty Doctors
190,Mount Sinai Doctors - West 147th Street
191,Bailyn Douglas H MD
192,Mount Sinai Doctors - West 14th Street
193,Mount Sinai Doctors - Senior Health
194,Workers Comp Doctor - DHD Medical
195,"New York Physicians LLP: Deena J. Nelson, MD"
196,"Dr. Mark E. Horowitz, MD"
197,NYU Downtown Hospital: Tharakan Tessie MD
198,Burnett Michael MD at Best ENT Doctor NYC
199,New York Eye &amp; Ear Infirmary: Rao Sunil K MD
200,Mount Sinai Doctors - 1090 Amsterdam
201,"Dr. Stella P. Mansukhani, MD - Pain &amp; Injury Doctor"
202,Forward
203,Doctor's Council-City-New York
204,"Firshein Center: Richard Firshein, DO"
205,21
206,40
207,Wellsure Medical Practice PC
208,Kapusuz Tolga MD
209,Peng Benjamin C MD
210,AdvantageCare Physicians - Harlem Medical Office
211,AdvantageCare Physicians - Midtown Medical Office
212,Valencia Alejandra MD
213,Mount Sinai Doctors - Faculty Practice
214,Weill Cornell Medicine Peripheral Neuropathy Center
215,"Kenneth R. Weinberg, M.D. - Cannabis Doctors of New York"
216,Mount Sinai Doctors - West 59th Street
217,"Dr. Patrick Jean-Pierre, Sports &amp; Anti-Aging Medicine"
218,Raymond F Wong PC: Wong Raymond F MD
219,"Dr. Gordon M. Freedman, MD"
220,Midtown New York Doctors Urgent Care
221,Faculty Practice Associates
222,AdvantageCare Physicians - Lower East Side Medical Office
223,"Jeffrey A. Ascherman, MD"
224,Weight Controll Clinic
225,Samson C Michael A MD
226,Nyc Department of Health &amp; Mental Hy: Blank Susan MD
227,Douglas Allen DO
228,41
229,60
230,Wellsure Medical Practice PC
231,Fong Danny MD
232,ColumbiaDoctors Columbus Circle - Pain Center
233,Mount Sinai Doctors - East 85th Street - Pediatrics
234,Jani Rachan MD
235,New York Presbyterian Hospital:Ederliza Concepcion MD
236,Ainsworth Institute of Pain Management
237,Weill Cornell Physicians Onl
238,Mount Sinai Faculty Practice Associates
239,Unimed Health Care: Fuks Mikhail MD
240,AdvantageCare Physicians - Upper East Side Medical Office
241,Mount Sinai Doctors - East 85th Street
242,"Farah Hameed, MD"
243,New York University Med Center: Milan R. Amin MD
244,Murray Hill Medical Group: Levinsohn James D MD
245,Pain Relief Center of NYC
246,Ross Frank L MD
247,Physicians Referral-New York
248,Mount Sinai Doctors - East 85th Street - Vascular Surgery
249,Dr. Sudha Dubey
250,Pain Management - Mount Sinai Doctors 200 West 57th Street
251,61
252,80
253,Wellsure Medical Practice PC
254,Allen Hospitalists Group
255,Mount Sinai Doctors Ansonia - Dermatology
256,"Roy Lackey, MD"
257,"Mount Sinai Doctors - East 85th Street - Ear, Nose, and Throat"
258,Neck &amp; Spine Pain Doctors
259,Oz Mehmet C MD
260,Anthony Azar MD
261,New York Eye &amp; Ear Infirmary: Ascher Jonathan MD
262,Marc M Levinson MD
263,"Dr. Anne Stockton, MD"
264,Dr. Lawrence Grunfeld
265,Pappagallo Marco MD
266,"Han Jo Kim, MD"
267,Mount Sinai Pain Management
268,Schlifstein Todd R DO
269,"Dr. Marc E. Brown, MD"
270,Dr. Cathleen Bechan
271,NuggMD - #1 Medical Marijuana Card Doctors NY
272,Hospital For Special Surgery: Ludwin Danielle B MD
273,Jodorkovsky Daniela MD
274,81
275,100
276,Wellsure Medical Practice PC
277,New York Urological Associates: Edmunds Juana I MD
278,"Corey Hunter, MD"
279,Lau Leon MD
280,Friedman Steven G MD
281,New York Eye-Ear Infirmary: Rosenstein Kenneth MD
282,Affiliated Physicians
283,"Sunny Shah, M.D."
284,"Margaret Mei, MD"
285,Hospital For Special Surgery: Heyworth Benton E MD
286,Lee Shuk-Yi MD
287,Hospital For Joint Diseases Orthopaedic Institute: Rehabilitation Medicine Dept of
288,New York Specialty Physicians
289,Mount Sinai Doctors - East 85th Street - Dermatology
290,N Y Department Mental Health: Sederer Lloyd MD
291,"Dr. Natasha Desai, MD"
292,Raymond L Yung PC
293,Spinecare Institute
294,Mount Sinai Doctors - East 85th Street - Obstetrics and Gynecology
295,Mount Sinai Infectious Disease
296,Urological Associates: Sosa R Ernest MD
297,101
298,120
299,Wellsure Medical Practice PC
300,"Dr. Jennifer Wu, MD"
301,Yaoshen Cai
302,"Dr. Silvana E. Ribaudo, MD"
303,Kofinas Jason D MD
304,"Kaliyur Venkat, M.D."
305,Wong Soman Mary MD
306,ColumbiaDoctors - Dermatology
307,Lam Amy
308,"Sydney R. Coleman, M.D."
309,"Christina Kong, MD, FACOG"
310,ColumbiaDoctors - Orthopedics
311,Mount Sinai Doctors Brooklyn Heights
312,Jennifer Marti MD FACS
313,"Samantha M. Pfeifer, M.D."
314,One Medical
315,"Dr. Cynthia M. Whitman, MD"
316,Chang Thomas T MD
317,"Andrea Berne, PNP"
318,Gotham Footcare
319,"Advanced Oncology, P.C. | Dr. Kin Lam"
320,121
321,140
322,Solomon Gregory MD
323,"Dr. Ronald H. Blum, MD"
324,"Robert F. Mancuso, M.D."
325,Garg Karan MD
326,Move Well MD
327,New York Pain Care
328,One Medical
329,"David Reichman, MD"
330,Dr. Benjamin Sandler
331,ColumbiaDoctors - 3rd Avenue
332,"Sophia Wu, MD, FACOG"
333,Bansal Amit K Do
334,"Dr. Ken Moadel, New York Eye Specialists"
335,Urological Associates: Koval Raymond P MD
336,"Vincent Yen, MD"
337,"Harjot K. Singh, M.D."
338,One Medical
339,"Dr. Diego G. Hojraj, MD"
340,Dr. Arthur M. Lubitz
341,Gramercy Park Physicians
342,Soho Health NY: Fagelman Andrew MD
343,141
344,160
345,Wellsure Medical Practice PC
346,Weill Cornell Medicine Primary Care - East Side
347,"Ching Chen, DO"
348,Weill Cornell Medicine- OBGYN- Downtown Office
349,Fracchia John A MD
350,"Modern Medical, PC"
351,Downtown Primary Care
352,Wagner David Dr
353,Allergy &amp; Asthma Care of New York
354,Paul G Ottaviano Md
355,Manhattan's Physician Group
356,"Dr. Gary A. Gelbfish, MD"
357,AdvantageCare Physicians - East New York Medical Office
358,Dr. Rachel Friedman
359,New York Pulmonary Associates PC: Garay Stuart M MD
360,The Mount Sinai Hospital
361,Colisuem Surgical &amp; Medical: Wishner Jerald D MD
362,"Christopher Elder, MD"
363,NYU Langone Pulmonary &amp; Critical Care Associates
364,Wingtat Mui MD PLLC
365,"Vandana Kumra, MD"
366,161
367,180
368,Wellsure Medical Practice PC
369,New York Downtown Hospital: Ho Allan W MD
370,ColumbiaDoctors Radiology - Midtown
371,"Dr. David H. Delman, MD - Pain &amp; Injury Doctor"
372,Huang Amy MD
373,"Mount Sinai Health System: Stephanie CWang, MD"
374,Mt Sinai of Queens: Giraldo Jaime MD
375,ColumbiaDoctors Dermatology
376,"Edward Fruitman, MD"
377,Mount Sinai Doctors – West 57th Street
378,Dr. Daniel Polatsch
379,"Matthew Vorsanger, M.D."
380,Mount Sinai Orthopedics
381,"Mount Sinai-Union Square, Otolaryngology (ENT)"
382,Lebeau Dorothy L MD
383,Columbia Westside Pediatrics
384,"Jose F. Colon, MD New York"
385,"Dr. George Hall, MD"
386,"Darren J. Friedman, MD"
387,Weill Cornell Medicine Urology - New York-Presbyterian Lower Manhattan Hospital
388,"Hale Yarmohammadi, MD, MPH"
389,181
390,200
391,Wellsure Medical Practice PC
392,Mount Sinai Doctors Faculty Practice
393,"Laura A. Carinci, MD"
394,ColumbiaDoctors - Obstetrics &amp; Gynecology (OBGYN)
395,ColumbiaDoctors - Orthopedics
396,ColumbiaDoctors Ophthalmology - Edward S. Harkness Eye Institute
397,Dr. Deborah Sonenblick
398,"Mari Su, MD"
399,Hospital for Special Surgery- Rheumatology
400,Genuth Lewis MD
401,Isaacs Daryl M MD
402,Japanese Medical Practice: Rosales Rowena MD
403,Weill Cornell Medicine- Comprehensive Weight Control Center
404,"Gilberto Alvarez del Manzano, MD"
405,Dara Huang MD
406,Manhattan Gastroenterology
407,"Lidiya Markova, MD"
408,Schrier Amilia MD
409,"Dr. Michel A. Cohen, MD"
410,Dr. Shelly X. Shi
411,"Dr. Martin J. Frankel, MD"
412,201
413,220
414,Wellsure Medical Practice PC
415,ColumbiaDoctors - Obstetrics &amp; Gynecology (OBGYN)
416,"Jeffrey A. Goldstein, MD"
417,"Dr. Eli Bryk, MD"
418,Weill Cornell Eye - Lower Manhattan
419,Purohit Rajveer S MD
420,Chiang Chien Kuo MD
421,New York-Presbyterian/ Lower Manhattan Hospital Neurology
422,Mount Sinai West OBGYN
423,"Yuichiro Kuwama, MD"
424,NYU Department of Neurology
425,USCIS Medical Exam Doctors
426,"Ronald Primas, MD"
427,Norman J. Chan MD
428,Center Medical Services Inc: Yong Peter Y MD
429,Eric Braverman MD
430,"Blair Lewis, MD, PC"
431,Kofinas Fertility Group
432,"David M. Weiner, MD"
433,"Ann Y. Long, MD"
434,"Alan R. Dayan, MD"
435,221
436,240
437,Wellsure Medical Practice PC
438,"Robert S. Gotlin, DO"
439,Mount Sinai-Union Square
440,"Dr. Jeffrey D. Greenberg, MD"
441,"Dr. Steven J. Simonte, MD"
442,"Stephen H. Tsang, MD, PhD"
443,NYU Langone Seaport Orthopedics
444,ColumbiaDoctors - Orthopedics
445,"Joon Song, MD: New York Robotics Gynecology &amp; Wome"
446,"Janette Davison, MD"
447,Jordan C. Stern MD PC
448,"Dr. Matthew Yovino, MD"
449,Manhattan Sports Medicine- Downtown Physical Medicine &amp; Rehabilitation
450,Chan Thomas K MD
451,"Kenneth McCulloch, MD"
452,"Jeffrey Liebmann, MD"
453,Dhruv Khullar
454,Dr. Lihua Yang
455,"Dr. Boris Leybel, MD"
456,"Sid Sharma, DPM"
457,Dr. Winston Wong
458,241
459,260
460,Wellsure Medical Practice PC
461,"Robert S. Gotlin, DO"
462,Mount Sinai-Union Square
463,"Dr. Jeffrey D. Greenberg, MD"
464,"Dr. Steven J. Simonte, MD"
465,"Stephen H. Tsang, MD, PhD"
466,NYU Langone Seaport Orthopedics
467,ColumbiaDoctors - Orthopedics
468,"Joon Song, MD: New York Robotics Gynecology &amp; Wome"
469,"Janette Davison, MD"
470,Jordan C. Stern MD PC
471,"Dr. Matthew Yovino, MD"
472,Manhattan Sports Medicine- Downtown Physical Medicine &amp; Rehabilitation
473,Chan Thomas K MD
474,"Kenneth McCulloch, MD"
475,"Jeffrey Liebmann, MD"
476,Dhruv Khullar
477,Dr. Lihua Yang
478,"Dr. Boris Leybel, MD"
479,"Sid Sharma, DPM"
480,Dr. Winston Wong
481,261
482,280
